Cognome,Nome,Circoscrizione,Gruppo,DisegnidiLegge,InterrogazioniParlamentari,InterpellanzeParlamentari,Mozioni,OrdinidelGiorno,Totale
Anselmo,Alice,Regionale,Partito Democratico (PD),8,8,0,4,4,24
Panepinto,Giovanni,Agrigento,Partito Democratico (PD),15,45,2,1,9,72
Alloro,Mario,Enna,Partito Democratico (PD),7,25,3,9,9,53
Apprendi,Giuseppe,Palermo,Partito Democratico (PD),2,10,0,1,0,13
Arancio,Giuseppe Concetto,Caltanissetta,Partito Democratico (PD),6,27,0,6,0,39
Barbagallo,Anthony Emanuale,Catania,Partito Democratico (PD),17,29,4,4,4,58
Cirone in Di Marco,Maria,Regionale,Partito Democratico (PD),9,44,3,6,6,68
Cracolici,Antonello,Palermo,Partito Democratico (PD),11,13,1,2,2,29
Crocetta,Rosario,Regionale,Partito Democratico (PD),166,0,0,0,0,166
Di Giacomo,Giuseppe,Ragusa,Partito Democratico (PD),15,2,0,4,0,21
Di Pasquale,Emanuele,Ragusa,Partito Democratico (PD),6,8,0,4,2,20
Gucciardi,Baldassarre,Trapani,Partito Democratico (PD),19,0,0,1,12,32
Laccoto,Giuseppe,Messina,Partito Democratico (PD),14,5,1,3,2,25
Lupo,Giuseppe,Palermo,Partito Democratico (PD),7,4,1,3,11,26
Bruno,Marziano,Siracusa,Partito Democratico (PD),19,10,0,1,2,32
Milazzo,Antonella Maria,Regionale,Partito Democratico (PD),7,14,1,2,1,25
Nicotra,Raffaele,Catania,Partito Democratico (PD),4,4,0,2,2,12
Panarello,Filippo,Messina,Partito Democratico (PD),5,13,0,3,2,23
Raia,Concetta,Catania,Partito Democratico (PD),18,44,1,4,3,70
Ruggirello,Paolo,Trapani,Partito Democratico (PD),13,46,1,2,9,71
Sammartino,Luca,Catania,Partito Democratico (PD),4,15,1,4,2,26
Sudano,Valeria,Catania,Partito Democratico (PD),2,3,0,2,0,7
Vullo,Gianfranco,Catania,Partito Democratico (PD),3,35,0,2,2,42
Cancelleri,Giovanni Carlo,Caltanissetta,Movimento Cinque Stelle,25,78,15,30,9,157
Ciaccio,Giorgio,Palermo,Movimento Cinque Stelle,12,66,35,15,8,136
Foti,Angela,Catania,Movimento Cinque Stelle,11,99,47,44,22,223
La Rocca,Claudio,Palermo,Movimento Cinque Stelle,8,95,15,11,8,137
Cappello,Francesco,Catania,Movimento Cinque Stelle,5,87,23,10,0,125
Ciancio,Gianina,Catania,Movimento Cinque Stelle,6,44,3,10,2,65
Ferreri,Vanessa,Ragusa,Movimento Cinque Stelle,9,76,19,12,2,118
Mangiacavallo,Matteo,Agrigento,Movimento Cinque Stelle,4,74,41,7,6,132
Palmeri,Valentina,Trapani,Movimento Cinque Stelle,11,60,26,12,7,116
Siracusa,Salvatore,Palermo,Movimento Cinque Stelle,10,60,6,5,1,82
Tancredi,Sergio,Trapani,Movimento Cinque Stelle,11,61,8,11,1,92
Trizzino,Giampiero,Palermo,Movimento Cinque Stelle,21,65,3,12,1,102
Zafarana,Valentina,Messina,Movimento Cinque Stelle,13,78,40,18,17,166
Zito,Stefano,Siracusa,Movimento Cinque Stelle,26,152,22,54,14,268
Forzese,Marco Lucio,Catania,Centristi per la Sicilia,12,55,0,3,1,71
Ragusa,Orazio,Ragusa,Centristi per la Sicilia,8,12,0,8,5,33
Miccich�,Gianluca Antonello,Caltanissetta,Centristi per la Sicilia,9,28,0,1,2,40
Ardizzone,Giovanni,Messina,Centristi per la Sicilia,2,0,0,0,0,2
Cani,Gaetano,Agrigento,Centristi per la Sicilia,0,1,0,0,0,1
La Rocca Ruvolo,Margherita,Agrigento,Centristi per la Sicilia,8,23,0,4,2,37
Sorbello,Giuseppe,Siracusa,Centristi per la Sicilia,0,2,0,0,1,3
D�Asero,Antonino,Catania,Alternativa Popolare,22,56,1,8,11,98
Fontana,Vincenzo,Agrigento,Alternativa Popolare,15,34,0,4,7,60
Pietro,Alongi,Palermo,Alternativa Popolare,3,31,0,1,5,40
Di Maggio,Giuseppe,Palermo,Alternativa Popolare,1,2,0,0,0,3
Germanà,Antoniono Salvatore,Messina,Alternativa Popolare,11,56,1,5,4,77
Lo Sciuto,Giovanni,Trapani,Alternativa Popolare,7,41,1,5,1,55
Vinciullo,Vincenzo,Siracusa,Alternativa Popolare,110,1020,2,20,42,1194
Falcone,Marco,Catania,Forza Italia,27,177,12,39,59,314
Assenza,Giorgio,Ragusa,Forza Italia,9,111,0,29,2,151
Federico,Giuseppe,Caltanissetta,Forza Italia,10,29,1,1,0,41
Figuccia,Vincenzo,Palermo,Forza Italia,18,149,1,11,8,187
Milazzo,Giuseppe,Palermo,Forza Italia,2,7,0,2,9,20
Papale,Alfio,Catania,Forza Italia,0,21,0,1,1,23
Rinaldi,Francesco,Messina,Forza Italia,42,44,8,9,6,109
Savona,Riccardo,Palermo,Forza Italia,1,10,0,0,14,25
Di Mauro,Giovanni,Agrigento,Partito dei Siciliani - MPA,5,29,0,9,1,44
Fiorenza,Cataldo,Catania,Partito dei Siciliani - MPA,8,23,1,1,0,33
Greco,Giovanni,Palermo,Partito dei Siciliani - MPA,2,70,11,4,28,115
Lombardo,Salvatore Federico,Catania,Partito dei Siciliani - MPA,31,61,16,40,30,178
Coltraro,Giambattista,Siracusa,Sicilia Democratica,7,22,0,12,0,41
Giuffrida,Salvatore,Catania,Sicilia Democratica,5,25,9,0,0,39
Currenti,Carmelo,Messina,Sicilia Democratica,7,14,0,4,0,25
Lantieri,Annunziata Lucia,Enna,Sicilia Democratica,2,3,1,0,0,6
Picciolo,Giuseppe,Messina,Patto dei democratici per le riforme - Sicilia futura,4,25,0,8,0,37
Cascio,Salvatore,Agrigento,Patto dei democratici per le riforme - Sicilia futura,3,18,1,2,0,24
Lo Giudice,Salvatore,Palermo,Patto dei democratici per le riforme - Sicilia futura,26,5,2,3,1,37
Tamajo,Edmondo,Palermo,Patto dei democratici per le riforme - Sicilia futura,2,14,0,0,2,18
Cimino,Michele,Agrigento,Patto dei democratici per le riforme - Sicilia futura,7,14,1,7,5,34
D�Agostino,Nicola,Catania,Patto dei democratici per le riforme - Sicilia futura,3,2,0,2,1,8
Greco,Marcello,Messina,Patto dei democratici per le riforme - Sicilia futura,11,3,0,0,0,14
Cordaro,Salvatore,Palermo,Grande Sud - PID cantiere popolare verso forza italia,21,25,11,4,9,70
Grasso,Bernadette Felice,Messina,Grande Sud - PID cantiere popolare verso forza italia,8,36,11,11,9,75
Clemente,Roberto Saverio,Palermo,Grande Sud - PID cantiere popolare verso forza italia,2,4,1,0,7,14
Gennuso,Giuseppe,Siracusa,Grande Sud - PID cantiere popolare verso forza italia,0,3,0,0,0,3
Di Giacinto,Giovanni,Palermo,Partito Socialista Italiano - PSE,6,6,2,4,8,26
Malafarina,Antonio ,Regionale,Partito Socialista Italiano - PSE,1,10,1,1,1,14
Oddo,Salvatore Antonino,Regionale,Partito Socialista Italiano - PSE,9,24,1,3,0,37
Formica,Santi,Messina,Lista con Nello Musumeci #diventer�bellissima,6,14,6,2,3,31
Barbagallo,Alfio,Catania,Lista con Nello Musumeci #diventeràbellissima,0,7,0,0,0,7
Musumeci,Nello,Regionale,Lista con Nello Musumeci #diventeràbellissima,18,192,54,17,1,282
Turano,Girolamo,Trapani,Misto,66,27,1,5,3,102
Dina,Antonino,Palermo,Misto,2,3,0,0,7,12
Lentini,Salvatore,Palermo,Misto,15,18,4,8,18,63
Maggio,Maria Leonarda,Regionale,Misto,12,13,1,5,2,33
Pellegrino,Stefano,Trapani,Misto,0,2,0,0,0,2
Venturino,Antonio ,Enna,Misto,15,5,0,1,5,26
,,,,110,66,6,19,35,236
